type,question,answer,file
when,"For Fall 2023, When is Semester & Mini-1 Classes Begin?",August 28,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 add, audit & tuition adjustment drop deadline?",September 01,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Labor Day?",September 04,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Semester add, audit & tuition adjustment drop deadline?",September 11,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 drop deadline?",September 20,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 Pass/no pass & withdrawal deadline?",October 02,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 Faculty Course Evaluations open?",October 02,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Semester drop deadline?",October 09,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 Last Day of Classes?",October 13,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 voucher election deadline?",October 13,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Family Weekend?",October 13,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 Exams?",October 14,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-1 Faculty Course Evaluations close?",October 14,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Fall Break?",October 16,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-2 Classes Begin?",October 23,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mid-Semester & Mini-1 grades due by 4 pm?",October 23,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-2 add, audit & tuition adjustment drop deadline?",October 27,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Democracy Day?",November 07,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Homecoming?",November 11,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Spring 2024 Registration Week?",November 13,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Semester pass/no pass & withdrawal deadline?",November 13,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-2 drop deadline?",November 15,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Thanksgiving Break?",November 22,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Mini-2 pass/no pass & withdrawal deadline?",November 27,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Semester & Mini-2 Faculty Course Evaluations open?",November 27,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Semester & Mini-2 Last Day of Classes?",December 08,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Semester & Mini-2 voucher deadline?",December 08,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Final Exams?",December 11,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Reading Day?",December 13,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Final Exams?",December 14,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Reading Day?",December 16,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Final Exams?",December 17,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Make-Up Final Exams?",December 18,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Semester & Mini-2 Faculty Course Evaluations close?",December 18,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Final Grades Due by 4 pm?",December 20,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Winter Break?",December 23,2324-academic-calendar-list-view.txt
when,"For Fall 2023, When is Fall Deans' Lists Posted?",January 08,2324-academic-calendar-list-view.txt
when,"For Spring 2024, When is Martin Luther King Day?",January 15,2324-academic-calendar-list-view.txt
