type,question,answer,file
what,What are the primary areas of focus for the Ph.D. in Language and Information Technology at Carnegie Mellon University?,Developing the next generation of scientific and entrepreneurial leaders.,LTI_programs.txt
what,What are the course unit requirements for a Ph.D. in Language and Information Technologies at CMU?,96 units of graduate-level courses,LTI_programs.txt
what,What are the key components of the curriculum for a Ph.D. in Language and Information Technologies?,"LTI courses, SCS courses, lab courses, and research.",LTI_programs.txt
what,What is the general structure of the first two years of the Ph.D. in Language and Information Technology program?,"Similar to the MLT program, focused on coursework and initial research.",LTI_programs.txt
what,What is the final application deadline for Fall 2024 admission to LTI's graduate programs?,"December 13, 2023, at 3 p.m. EST.",LTI_programs.txt
what,What are the two options available for completing the Master of Computational Data Science program?,Standard Timing (16 months) and Extended Timing (20 months),LTI_programs.txt
what,What is the minimum number of course credits required for the MCDS program?,A minimum of 144 units,LTI_programs.txt
what,What is the focus of the Master of Science in Intelligent Information Systems degree?,"Recognizing and extracting meaning from text, spoken language, and video.",LTI_programs.txt
how,How long is the standard track for the MIIS-16 program?,16 months,LTI_programs.txt
what,What is the unique aspect of the Master of Science in Artificial Intelligence and Innovation program?,Combines AI and machine learning curriculum with real-world team experience.,LTI_programs.txt
how,How many semesters does the MSAII degree typically take to complete?,Four semesters,Handbook-MSAII-2022-2023.txt
what,What GPA is required for applying to the MSAII program?,A GPA of 3.0 or higher,Handbook-MSAII-2022-2023.txt
who,Who should be contacted for specific application or admissions questions related to the MSAII program?,Amber Vivis,Handbook-MSAII-2022-2023.txt
who,Who is the Director of the MSAII program?,Michael I. Shamos,Handbook-MSAII-2022-2023.txt
what,What are the three areas of concentration in the MCDS program?,"Analytics, Systems, and Human-Centered Data Science",MCDS Handbook 23-24 AY.txt
T/F,Is there a thesis or dissertation requirement in the MCDS program?,No,MCDS Handbook 23-24 AY.txt
who,Who is the Program Director of the MIIS program?,Teruko Mitamura,MIIS Handbook_2023 - 2024.txt
T/F,Are part-time study options available in the MIIS program?,Yes,MIIS Handbook_2023 - 2024.txt
what,What is the policy for grade appeals in the MIIS program?,Final grades are changed only in exceptional circumstances with the instructor's approval,MIIS Handbook_2023 - 2024.txt
what,What is the duration of the MLT program?,Two calendar years (24 months),MLT Student Handbook 2023 - 2024.txt
what,What support is provided for graduate student funding in the MLT program?"Full funding (tuition plus stipend) is guaranteed for the first year, subject to satisfactory progress.",MLT Student Handbook 2023 - 2024.txt
