type,question,answer,file
when,When is the Diploma Ceremonies for Architecture?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Art?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for BXA Intercollege Degree Programs?, May 12,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Biological Sciences (Master's)?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Biological Sciences (Bachelor's and Doctor's)?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Biomedical Engineering?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Business Administration & Economics (Bachelor's)?, May 12,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Carnegie Mellon Institute for Strategy and Technology?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Carnegie Mellon University in Qatar Graduation Ceremony?, May 6,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Chemical Engineering?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Chemistry?, May 12,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Civil & Environmental Engineering?, May 12,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Design?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Drama?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Economics and Business Administration (Bachelor's)?, May 12,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Electrical & Computer Engineering (Bachelor's)?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Electrical & Computer Engineering (Master's)?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Electrical & Computer Engineering (Doctor's)?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Energy Science Technology & Policy?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Engineering & Public Policy?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Engineering & Technology Innovation Management?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Information Networking Institute?, May 12,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for School of Computer Science (Master's)?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for School of Computer Science (Doctor's)?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for School of Computer Science (Bachelor's)?, May 12,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Social & Decision Sciences?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Statistics & Data Science (Master's and Doctor's)?, May 10,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Tepper School of Business (Master's)?, May 11,commencement_schedule_data.txt
when,When is the Diploma Ceremonies for Tepper School of Business (Doctor's)?, May 10,commencement_schedule_data.txt
