type,question,answer,file,notes,annotator
When,On what date are the Mid-Semester & Mini-1 grades due for 2023-2024 academic year?,"October 23, 2023",2324-academic-calendar-list-view.txt,"different ways to ask ""When""",xiaobin
When,When is the Mid-Semester grades due for 2023-2024 academic year?,"October 23, 2023 by 4 pm",2324-academic-calendar-list-view.txt,"different ways to ask ""When"", more fine-grained",xiaobin
How,How can students receive tuition adjustment when they drop a course?,Drop by the tuition adjustment drop deadline,2324-academic-calendar-list-view.txt,,xiaobin
When,"What is the deadline of add, audit & tuition adjustment drop in Mini-3 for 2023-2024 academic year?","January 22, 2024",2324-academic-calendar-list-view.txt,,xiaobin
When,"What is the deadline of add, audit & tuition adjustment drop in Mini-2 for 2024-2025 academic year?","October 25, 2024",2425-academic-calendar-list-view.txt,"same question, retrieve from a different document",xiaobin
When,When is university closed during the 2023-2024 academic year?,September 4 M Labor Day; December 23 -January 2 Sa-Tu Winter Break; May 27 M Memorial Day; June 19 W Juneteenth; July 4 Th Independence Day;,2324-academic-calendar-list-view.txt,need to collect and combine info,xiaobin
When,"For Fall 2023, When is Semester & Mini-1 Classes Begin?",August 28,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 add, audit & tuition adjustment drop deadline?",September 01,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Labor Day?",September 04,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Semester add, audit & tuition adjustment drop deadline?",September 11,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 drop deadline?",September 20,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 Pass/no pass & withdrawal deadline?",October 02,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 Faculty Course Evaluations open?",October 02,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Semester drop deadline?",October 09,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 Last Day of Classes?",October 13,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 voucher election deadline?",October 13,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Family Weekend?",October 13,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 Exams?",October 14,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-1 Faculty Course Evaluations close?",October 14,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Fall Break?",October 16,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-2 Classes Begin?",October 23,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mid-Semester & Mini-1 grades due by 4 pm?",October 23,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-2 add, audit & tuition adjustment drop deadline?",October 27,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Democracy Day?",November 07,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Homecoming?",November 11,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Spring 2024 Registration Week?",November 13,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Semester pass/no pass & withdrawal deadline?",November 13,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-2 drop deadline?",November 15,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Thanksgiving Break?",November 22,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Mini-2 pass/no pass & withdrawal deadline?",November 27,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Semester & Mini-2 Faculty Course Evaluations open?",November 27,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Semester & Mini-2 Last Day of Classes?",December 08,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Semester & Mini-2 voucher deadline?",December 08,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Final Exams?",December 11,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Reading Day?",December 13,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Final Exams?",December 14,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Reading Day?",December 16,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Final Exams?",December 17,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Make-Up Final Exams?",December 18,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Semester & Mini-2 Faculty Course Evaluations close?",December 18,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Final Grades Due by 4 pm?",December 20,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Winter Break?",December 23,2324-academic-calendar-list-view.txt,,jialu
When,"For Fall 2023, When is Fall Deans' Lists Posted?",January 08,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Martin Luther King Day?",January 15,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is First Day of Class?",January 16,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 add, audit & tuition adjustment drop deadline?",January 22,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Semester add, audit & tuition adjustment drop deadline?",January 29,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 course drop deadline?",February 07,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 pass/no pass & withdrawal deadline?",February 19,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 Faculty Course Evaluations open?",February 19,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Semester course drop deadline?",February 26,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 Last Day of Classes?",March 01,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 voucher deadline?",March 01,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 Exams?",March 02,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-3 Faculty Course Evaluations close?",March 02,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Spring Break?",March 04,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is First day of Mini-4 Classes?",March 11,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mid-Semester & Mini-3 grades due by 4 pm?",March 11,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Summer 2024 Registration Opens?",March 12,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-4 add, audit & tuition adjustment drop deadline?",March 15,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Semester pass/no pass & withdrawal deadline?",April 01,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Mini-4 course drop deadline?",April 03,2324-academic-calendar-list-view.txt,,jialu
When,"For Spring 2024, When is Spring Carnival?",April 11,2324-academic-calendar-list-view.txt,,jialu
